Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
RFS1	YBR052C	SSA2	YLL024C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RFS1	YBR052C	PST2	YDR032C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGA2	YDR379W	PSY2	YNL201C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGP1	YDR137W	RIC1	YLR039C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGP1	YDR137W	RIC1	YLR039C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	CSE2	YNR010W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	MED1	YPR070W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	MED4	YOR174W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	MED7	YOL135C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	NUT2	YPR168W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	SIN4	YNL236W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	SPT20	YOL148C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	SSN3	YPL042C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	MED7	YOL135C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RGR1	YLR071C	MED1	YPR070W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIC1	YLR039C	PRT1	YOR361C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIE1	YGR250C	IMD4	YML056C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIO2	YNL207W	NOB1	YOR056C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIO2	YNL207W	PNO1	YOR145C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIO2	YNL207W	SNF2	YOR290C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIO2	YNL207W	NOB1	YOR056C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIO2	YNL207W	DIM1	YPL266W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIO2	YNL207W	RRP12	YPL012W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIO2	YNL207W	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIO2	YNL207W	RPS9A	YPL081W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIO2	YNL207W	HRR25	YPL204W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	SPB4	YFL002C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	NOP15	YNL110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	BRX1	YOL077C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	NIP7	YPL211W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	ARX1	YDR101C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	NOP7	YGR103W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	SDA1	YGR245C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	RPF2	YKR081C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	BUD20	YLR074C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	IPI3	YNL182C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	NOG2	YNR053C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	NOG1	YPL093W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX1	YHR197W	TIF6	YPR016C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	RPL20A	YMR242C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	RPL3	YOR063W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	RPL7B	YPL198W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	FPR4	YLR449W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	NOP15	YNL110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	BRX1	YOL077C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	NOC2	YOR206W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	YTM1	YOR272W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	NIP7	YPL211W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	RPL8B	YLL045C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RIX7	YLL034C	RPL13B	YMR142C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	DBP2	YNL112W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	IMD3	YLR432W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	RPS17A	YML024W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	RPS7A	YOR096W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	RPS22B	YLR367W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	TIF35	YDR429C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	NIP1	YMR309C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	TIF5	YPR041W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	RPL1A	YPL220W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	RPS1B	YML063W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	RPL7A	YGL076C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLI1	YDR091C	RPL8B	YLL045C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLP7	YNL002C	NOP15	YNL110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLP7	YNL002C	NOC2	YOR206W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLP7	YNL002C	YTM1	YOR272W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLP7	YNL002C	TIF6	YPR016C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLP7	YNL002C	NOP13	YNL175C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLP7	YNL002C	BRX1	YOL077C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RLP7	YNL002C	NOP4	YPL043W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNA14	YMR061W	CLP1	YOR250C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNA14	YMR061W	CLP1	YOR250C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNA14	YMR061W	PFS2	YNL317W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNA15	YGL044C	RNA14	YMR061W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNA15	YGL044C	IMD3	YLR432W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNA15	YGL044C	RNA14	YMR061W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNA15	YGL044C	CLP1	YOR250C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNR1	YER070W	ACS2	YLR153C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNR1	YER070W	DBP8	YHR169W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNR1	YER070W	GLC7	YER133W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNR2	YJL026W	WTM1	YOR230W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNR4	YGR180C	RNR2	YJL026W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNR4	YGR180C	RNR2	YJL026W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNR4	YGR180C	WTM1	YOR230W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNT1	YMR239C	NRD1	YNL251C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RNT1	YMR239C	NAB3	YPL190C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ROK1	YGL171W	RPS1B	YML063W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ROK1	YGL171W	UTP22	YGR090W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ROK1	YGL171W	RPL20A	YMR242C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ROM2	YLR371W	MEX67	YPL169C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ROT2	YBR229C	ERV41	YML067C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPA135	YPR010C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPA190	YOR341W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPA43	YOR340C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPB10	YOR210W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPB8	YOR224C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPO26	YPR187W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPA43	YOR340C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPA190	YOR341W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA12	YJR063W	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA135	YPR010C	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA135	YPR010C	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA190	YOR341W	RPA135	YPR010C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA190	YOR341W	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA190	YOR341W	RPO26	YPR187W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA190	YOR341W	RPA135	YPR010C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA190	YOR341W	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA43	YOR340C	RPA135	YPR010C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA43	YOR340C	RPA190	YOR341W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA43	YOR340C	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA43	YOR340C	RPA190	YOR341W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA49	YNL248C	RPA135	YPR010C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA49	YNL248C	RPA190	YOR341W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA49	YNL248C	RPA43	YOR340C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA49	YNL248C	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA49	YNL248C	RPO26	YPR187W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA49	YNL248C	RPA190	YOR341W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPA49	YNL248C	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB10	YOR210W	RPA190	YOR341W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB10	YOR210W	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB11	YOL005C	RPB2	YOR151C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB2	YOR151C	ASR1	YPR093C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB2	YOR151C	RPB8	YOR224C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB2	YOR151C	ASR1	YPR093C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB2	YOR151C	TAF14	YPL129W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB2	YOR151C	RPO26	YPR187W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	IWR1	YDL115C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB7	YDR404C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	IWR1	YDL115C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB11	YOL005C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB2	YOR151C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB4	YJL140W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB7	YDR404C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB8	YOR224C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB2	YOR151C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	ASR1	YPR093C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB9	YGL070C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	TFG2	YGR005C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB10	YOR210W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPB9	YGL070C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	TFG1	YGR186W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	TFG2	YGR005C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	SPT5	YML010W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB3	YIL021W	RPO26	YPR187W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB4	YJL140W	SPT5	YML010W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB4	YJL140W	RPO26	YPR187W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB4	YJL140W	RPB2	YOR151C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB4	YJL140W	RPL18A	YOL120C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPB7	YDR404C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	SPT5	YML010W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	IWR1	YDL115C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPB3	YIL021W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPB2	YOR151C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPA12	YJR063W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPA49	YNL248C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPA43	YOR340C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPA190	YOR341W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPA135	YPR010C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPC25	YKL144C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPC34	YNR003C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPO31	YOR116C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RET1	YOR207C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPC82	YPR190C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	RPB9	YGL070C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB5	YBR154C	TFG2	YGR005C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB7	YDR404C	AOS1	YPR180W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB7	YDR404C	RPB11	YOL005C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB7	YDR404C	RPB4	YJL140W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB7	YDR404C	SPT4	YGR063C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB7	YDR404C	SPT5	YML010W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
RPB7	YDR404C	TFG1	YGR186W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
