Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
AHA1	YDR214W	GCN1	YGL195W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AHA1	YDR214W	HSP82	YPL240C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AHA1	YDR214W	TUB1	YML085C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AHA1	YDR214W	HSC82	YMR186W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AHA1	YDR214W	PFK1	YGR240C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AHA1	YDR214W	SRP68	YPL243W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AHA1	YDR214W	EFT1	YOR133W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AIM21	YIR003W	CAP1	YKL007W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AIM21	YIR003W	CAP1	YKL007W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AIR2	YDL175C	MTR4	YJL050W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AIR2	YDL175C	NAB3	YPL190C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AIR2	YDL175C	PAP2	YOL115W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AIR2	YDL175C	STO1	YMR125W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AIR2	YDL175C	NRD1	YNL251C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AIR2	YDL175C	PAP2	YOL115W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AIR2	YDL175C	NAB3	YPL190C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AKR1	YDR264C	PEP12	YOR036W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AKR1	YDR264C	STE4	YOR212W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AKR1	YDR264C	VTI1	YMR197C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AKR1	YDR264C	STE4	YOR212W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ALD6	YPL061W	NEW1	YPL226W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ALD6	YPL061W	TEF1	YPR080W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AME1	YBR211C	OKP1	YGR179C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AMN1	YBR158W	SSZ1	YHR064C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AMN1	YBR158W	ZUO1	YGR285C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
AMS1	YGL156W	RPC40	YPR110C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	MNN10	YDR245W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	FKS1	YLR342W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	HOC1	YJR075W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	MNN10	YDR245W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	MNN11	YJL183W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	MNN9	YPL050C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	PHB1	YGR132C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	PHB2	YGR231C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	PMR1	YGL167C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	MNN11	YJL183W	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	MNN9	YPL050C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
ANP1	YEL036C	SEC62	YPL094C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APC1	YNL172W	APC5	YOR249C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APC2	YLR127C	APC1	YNL172W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APC2	YLR127C	APC5	YOR249C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APC4	YDR118W	APC5	YOR249C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APC9	YLR102C	APC5	YOR249C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APE2	YKL157W	ACO1	YLR304C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APE2	YKL157W	MKT1	YNL085W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APE2	YKL157W	YHB1	YGR234W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APE2	YKL157W	BUD4	YJR092W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APE2	YKL157W	HSP60	YLR259C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL1	YJR005W	APM4	YOL062C	Affinity Capture-MS	high-throughput	Hit-Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	APL4	YPR029C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	APM1	YPL259C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	APS1	YLR170C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	RPL11A	YPR102C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	RPL16B	YNL069C	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	RPL19A	YBR084C-A	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
APL2	YKL135C	RPL3	YOR063W	Affinity Capture-MS	high-throughput	Bait-Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
